epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1271.28,1.56698,1.81092,1.95872,0.45937,0.43112,0.37768,0.18287,1.96643,2.18891,2.4667,0.000736625,0.000736625,0.000736625
71,1289.25,1.61288,1.82474,1.99141,0.50006,0.4005,0.4025,0.20143,1.95811,2.15815,2.45904,0.000729725,0.000729725,0.000729725
72,1307.27,1.56643,1.81717,1.96268,0.45452,0.44308,0.39027,0.19824,1.93091,2.1724,2.43012,0.00072277,0.00072277,0.00072277
73,1325.25,1.58589,1.78755,1.95287,0.50137,0.43637,0.40993,0.21187,1.90835,2.15583,2.44136,0.000715761,0.000715761,0.000715761
74,1343.49,1.583,1.83155,1.99744,0.47024,0.46474,0.40126,0.19504,1.95883,2.17471,2.45816,0.0007087,0.0007087,0.0007087
75,1361.41,1.57712,1.77746,1.96776,0.48439,0.45051,0.40965,0.20161,1.9442,2.12494,2.45406,0.000701588,0.000701588,0.000701588
76,1379.37,1.56358,1.78242,1.96002,0.42283,0.42976,0.37323,0.18933,1.94029,2.18799,2.45543,0.000694428,0.000694428,0.000694428
77,1397.38,1.56822,1.80312,1.96206,0.49046,0.43783,0.39136,0.19733,1.91006,2.11494,2.42355,0.000687222,0.000687222,0.000687222
78,1415.32,1.55442,1.76498,1.96988,0.47587,0.4466,0.39841,0.20447,1.92816,2.1277,2.43336,0.00067997,0.00067997,0.00067997
79,1433.22,1.58396,1.76096,1.97576,0.43542,0.47145,0.39885,0.19535,1.96455,2.1374,2.45585,0.000672675,0.000672675,0.000672675
80,1450.87,1.58648,1.79614,1.96579,0.50831,0.4517,0.41326,0.19884,1.9436,2.11092,2.42532,0.000665339,0.000665339,0.000665339
81,1468.78,1.59278,1.82162,1.98387,0.48737,0.42373,0.39836,0.2054,1.9126,2.12588,2.41913,0.000657963,0.000657963,0.000657963
