epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2010.76,1.58295,1.91672,2.05939,0.44432,0.44467,0.38354,0.19182,1.89236,2.20862,2.4075,0.000643101,0.000643101,0.000643101
84,2034.89,1.57632,1.9301,2.02735,0.45169,0.43375,0.39549,0.19714,1.93832,2.19327,2.43423,0.000635617,0.000635617,0.000635617
85,2058.97,1.55863,1.90336,2.00566,0.50671,0.44928,0.41553,0.20944,1.90944,2.20987,2.42435,0.000628101,0.000628101,0.000628101
86,2083.28,1.56425,1.8945,2.01043,0.44757,0.43317,0.38479,0.19919,1.83634,2.18598,2.34847,0.000620555,0.000620555,0.000620555
87,2107.39,1.54945,1.91356,1.98714,0.45042,0.44356,0.38489,0.19895,1.86793,2.15941,2.42077,0.000612981,0.000612981,0.000612981
88,2131.55,1.52319,1.8395,1.98911,0.47263,0.46574,0.40277,0.20006,1.89348,2.17178,2.42424,0.00060538,0.00060538,0.00060538
89,2155.67,1.55795,1.8695,1.9875,0.39564,0.47016,0.38675,0.1954,1.87268,2.1661,2.40316,0.000597754,0.000597754,0.000597754
90,2179.89,1.54935,1.87494,1.98603,0.43418,0.43874,0.38257,0.19422,1.89681,2.16691,2.4157,0.000590105,0.000590105,0.000590105
91,2204.04,1.54245,1.88082,1.99474,0.42974,0.48624,0.40299,0.20477,1.89765,2.14128,2.41666,0.000582435,0.000582435,0.000582435
92,2228.21,1.54158,1.87125,1.9979,0.44043,0.48071,0.41884,0.21306,1.86596,2.19515,2.39555,0.000574746,0.000574746,0.000574746
93,2252.4,1.51976,1.82425,1.98587,0.51576,0.42073,0.40159,0.21285,1.86307,2.15487,2.39913,0.00056704,0.00056704,0.00056704
94,2276.69,1.52121,1.79658,1.97628,0.41562,0.47677,0.4221,0.20478,1.88845,2.14101,2.41018,0.000559318,0.000559318,0.000559318
95,2300.92,1.52816,1.8381,1.97225,0.43887,0.49768,0.40045,0.19865,1.89206,2.11369,2.39527,0.000551584,0.000551584,0.000551584
96,2325.07,1.54277,1.85654,1.99867,0.44712,0.45508,0.3907,0.20297,1.86,2.18897,2.391,0.000543837,0.000543837,0.000543837
97,2349.18,1.52489,1.83235,1.98136,0.46879,0.47113,0.4061,0.20607,1.86213,2.16891,2.38249,0.000536081,0.000536081,0.000536081
98,2373.4,1.52226,1.84355,1.98309,0.49843,0.45613,0.41683,0.20666,1.88545,2.1324,2.40665,0.000528318,0.000528318,0.000528318
99,2397.62,1.52374,1.78931,1.96904,0.49831,0.46616,0.41719,0.21596,1.87235,2.10427,2.38778,0.000520548,0.000520548,0.000520548
100,2421.96,1.53618,1.86257,1.97694,0.42567,0.46436,0.39764,0.20311,1.86503,2.15424,2.36661,0.000512775,0.000512775,0.000512775
101,2446.29,1.53614,1.86232,2.00609,0.49759,0.46514,0.41361,0.21283,1.86169,2.12545,2.39909,0.000505,0.000505,0.000505
102,2470.59,1.52312,1.83688,1.98905,0.47404,0.44462,0.41297,0.21421,1.86577,2.11455,2.38108,0.000497225,0.000497225,0.000497225
103,2494.69,1.5228,1.81438,1.9797,0.44684,0.47926,0.41759,0.21202,1.85653,2.11188,2.36013,0.000489452,0.000489452,0.000489452
104,2518.9,1.54696,1.83469,1.99823,0.49441,0.46043,0.4157,0.20933,1.86209,2.11079,2.40975,0.000481682,0.000481682,0.000481682
105,2543.12,1.51439,1.79281,1.96825,0.47612,0.46021,0.42395,0.21123,1.88663,2.15117,2.38313,0.000473919,0.000473919,0.000473919
106,2567.34,1.52309,1.80216,1.97875,0.47689,0.45541,0.40858,0.20345,1.86528,2.14308,2.36353,0.000466163,0.000466163,0.000466163
107,2591.48,1.53486,1.84222,1.98063,0.50295,0.46828,0.4295,0.21164,1.88841,2.12863,2.40448,0.000458416,0.000458416,0.000458416
108,2615.73,1.54081,1.89442,1.98717,0.42716,0.46038,0.3865,0.20538,1.85818,2.13634,2.37227,0.000450682,0.000450682,0.000450682
109,2639.95,1.48233,1.77653,1.93591,0.47076,0.45368,0.41281,0.20782,1.88384,2.13717,2.39559,0.00044296,0.00044296,0.00044296
110,2664.28,1.52038,1.85049,1.98753,0.5104,0.45207,0.43297,0.21496,1.86555,2.12035,2.38088,0.000435254,0.000435254,0.000435254
111,2688.54,1.51399,1.77738,1.96517,0.53392,0.42668,0.41932,0.2035,1.94067,2.10754,2.46277,0.000427565,0.000427565,0.000427565
112,2712.77,1.49626,1.78763,1.96395,0.4598,0.43821,0.39452,0.20346,1.86173,2.15861,2.39149,0.000419895,0.000419895,0.000419895
113,2736.99,1.49775,1.79601,1.96997,0.47673,0.47225,0.40891,0.20798,1.87031,2.11429,2.39684,0.000412246,0.000412246,0.000412246
114,2761.17,1.52648,1.85444,1.96685,0.47915,0.46161,0.405,0.20166,1.89502,2.1462,2.40992,0.00040462,0.00040462,0.00040462
115,2785.25,1.48215,1.77417,1.9449,0.49241,0.4514,0.40605,0.20509,1.88629,2.12776,2.41231,0.000397019,0.000397019,0.000397019
116,2809.37,1.46675,1.73989,1.93902,0.46124,0.47619,0.42061,0.21139,1.89777,2.14245,2.40482,0.000389445,0.000389445,0.000389445
117,2833.61,1.5226,1.82624,1.97804,0.45812,0.44869,0.39929,0.2046,1.84919,2.15032,2.3675,0.000381899,0.000381899,0.000381899
118,2857.9,1.51279,1.78585,1.95691,0.4846,0.45157,0.40535,0.21047,1.86034,2.15214,2.38068,0.000374383,0.000374383,0.000374383
119,2882.12,1.48428,1.75346,1.94159,0.49467,0.46074,0.41205,0.20999,1.89455,2.13192,2.41235,0.000366899,0.000366899,0.000366899
120,2906.37,1.49919,1.77885,1.94582,0.47522,0.44856,0.41121,0.21155,1.89606,2.13844,2.40617,0.00035945,0.00035945,0.00035945
121,2930.68,1.49052,1.74807,1.94736,0.48367,0.45357,0.41949,0.20693,1.88964,2.12683,2.41795,0.000352037,0.000352037,0.000352037
122,2954.83,1.51393,1.78349,1.95168,0.4927,0.46948,0.41813,0.20923,1.88795,2.1237,2.41152,0.000344661,0.000344661,0.000344661
123,2978.94,1.47246,1.7441,1.94643,0.49523,0.46111,0.41569,0.20457,1.91409,2.15415,2.43004,0.000337325,0.000337325,0.000337325
124,3003.04,1.49264,1.76587,1.94475,0.48445,0.4378,0.39859,0.20196,1.90497,2.15786,2.43278,0.00033003,0.00033003,0.00033003
125,3027.21,1.4773,1.71834,1.94325,0.50664,0.46609,0.41709,0.21023,1.91005,2.12984,2.43166,0.000322778,0.000322778,0.000322778
126,3051.48,1.49139,1.76931,1.9419,0.49888,0.46555,0.4095,0.20684,1.87325,2.15535,2.40453,0.000315572,0.000315572,0.000315572
127,3075.72,1.49797,1.75315,1.95573,0.48492,0.44872,0.41144,0.21081,1.8961,2.13372,2.40231,0.000308412,0.000308412,0.000308412
128,3099.93,1.47786,1.79219,1.94186,0.46309,0.49524,0.42704,0.21639,1.87894,2.10814,2.38093,0.0003013,0.0003013,0.0003013
129,3124.02,1.48073,1.72584,1.93553,0.4989,0.45648,0.427,0.21085,1.90733,2.13173,2.41808,0.000294239,0.000294239,0.000294239
130,3148.28,1.46356,1.75056,1.9334,0.48934,0.49103,0.42369,0.21201,1.89935,2.10209,2.42257,0.00028723,0.00028723,0.00028723
131,3172.47,1.44644,1.73264,1.91631,0.51828,0.44803,0.42436,0.21288,1.8807,2.13475,2.40738,0.000280275,0.000280275,0.000280275
132,3196.53,1.46659,1.71507,1.92784,0.52201,0.48253,0.43932,0.21507,1.9083,2.09096,2.40489,0.000273375,0.000273375,0.000273375
133,3220.66,1.50138,1.74305,1.94925,0.50271,0.45166,0.42291,0.21151,1.89731,2.1153,2.42346,0.000266532,0.000266532,0.000266532
134,3244.87,1.48394,1.75811,1.93132,0.48376,0.45396,0.40846,0.20416,1.90753,2.12791,2.4187,0.000259748,0.000259748,0.000259748
135,3269,1.47828,1.73947,1.93741,0.50657,0.46891,0.4156,0.21449,1.88508,2.12074,2.41083,0.000253024,0.000253024,0.000253024
136,3293.17,1.47438,1.70654,1.92343,0.51899,0.45643,0.41783,0.2086,1.90927,2.13155,2.42542,0.000246363,0.000246363,0.000246363
137,3317.45,1.45171,1.71804,1.92063,0.54764,0.44029,0.42542,0.21433,1.8804,2.10745,2.39021,0.000239766,0.000239766,0.000239766
138,3341.68,1.46711,1.69188,1.9168,0.50318,0.4303,0.40601,0.20828,1.90489,2.15004,2.42788,0.000233234,0.000233234,0.000233234
139,3365.85,1.47532,1.70392,1.92608,0.52229,0.45724,0.42712,0.21575,1.89837,2.12432,2.41018,0.000226769,0.000226769,0.000226769
140,3390.07,1.44074,1.68142,1.89464,0.48003,0.47294,0.41079,0.21064,1.88116,2.12395,2.40002,0.000220372,0.000220372,0.000220372
141,3414.17,1.46445,1.72271,1.91936,0.48181,0.4583,0.40167,0.20273,1.90264,2.14023,2.42822,0.000214046,0.000214046,0.000214046
142,3438.66,1.43715,1.69529,1.89063,0.52833,0.45932,0.41638,0.21763,1.87359,2.08976,2.40177,0.000207792,0.000207792,0.000207792
143,3462.91,1.42482,1.69327,1.88717,0.52878,0.45258,0.42693,0.22161,1.88119,2.11281,2.40911,0.000201611,0.000201611,0.000201611
144,3487.2,1.46117,1.69956,1.91925,0.48486,0.47056,0.41673,0.2138,1.86541,2.09682,2.39958,0.000195505,0.000195505,0.000195505
145,3511.35,1.41268,1.66794,1.87658,0.49931,0.47172,0.41783,0.21421,1.89443,2.09549,2.42705,0.000189475,0.000189475,0.000189475
146,3535.48,1.43163,1.69197,1.89446,0.50462,0.47458,0.43169,0.21462,1.86772,2.08504,2.41452,0.000183523,0.000183523,0.000183523
147,3559.74,1.45894,1.67691,1.91305,0.52706,0.46148,0.42478,0.21333,1.89848,2.10399,2.42495,0.000177651,0.000177651,0.000177651
148,3583.9,1.41044,1.66124,1.88564,0.54764,0.44279,0.41668,0.21445,1.88543,2.11705,2.41192,0.000171859,0.000171859,0.000171859
149,3608.15,1.47468,1.74063,1.95022,0.50052,0.47398,0.42936,0.2188,1.88892,2.10594,2.41513,0.000166149,0.000166149,0.000166149
150,3632.45,1.45213,1.7127,1.91206,0.51169,0.47493,0.43228,0.21922,1.88383,2.09933,2.42127,0.000160523,0.000160523,0.000160523
151,3656.61,1.43606,1.67763,1.89877,0.50223,0.47389,0.41834,0.20913,1.89907,2.12468,2.43576,0.000154982,0.000154982,0.000154982
152,3680.76,1.41391,1.75234,1.88347,0.5285,0.47373,0.42642,0.21344,1.8861,2.09707,2.42124,0.000149527,0.000149527,0.000149527
153,3704.94,1.456,1.67356,1.90954,0.55099,0.46497,0.43221,0.21467,1.89994,2.11268,2.44065,0.000144161,0.000144161,0.000144161
154,3729.08,1.44722,1.67769,1.90779,0.54393,0.44671,0.43969,0.21457,1.89773,2.10444,2.41912,0.000138883,0.000138883,0.000138883
155,3753.16,1.44125,1.68456,1.90237,0.53277,0.45631,0.42768,0.21558,1.88036,2.12251,2.40501,0.000133695,0.000133695,0.000133695
156,3777.31,1.46125,1.68858,1.91617,0.54389,0.44832,0.4337,0.22166,1.89516,2.10396,2.41392,0.000128599,0.000128599,0.000128599
157,3801.49,1.41219,1.62507,1.88418,0.53489,0.4601,0.43245,0.22127,1.89076,2.08789,2.40871,0.000123596,0.000123596,0.000123596
158,3825.78,1.44152,1.6694,1.89008,0.54095,0.44462,0.42815,0.21943,1.89542,2.09337,2.4093,0.000118687,0.000118687,0.000118687
159,3849.91,1.4313,1.62638,1.88442,0.54333,0.45596,0.4306,0.21772,1.9109,2.10723,2.42499,0.000113873,0.000113873,0.000113873
160,3874.06,1.4259,1.64764,1.90289,0.51815,0.45816,0.42533,0.21981,1.89442,2.08473,2.41188,0.000109156,0.000109156,0.000109156
161,3898.26,1.43075,1.64203,1.89368,0.51423,0.47041,0.43158,0.21832,1.90921,2.08893,2.42524,0.000104537,0.000104537,0.000104537
162,3922.45,1.40751,1.62711,1.87977,0.50939,0.46872,0.42993,0.21837,1.89276,2.11612,2.41269,0.000100016,0.000100016,0.000100016
163,3946.53,1.4051,1.65632,1.87711,0.54003,0.46505,0.42103,0.21281,1.90653,2.13225,2.43701,9.55951e-05,9.55951e-05,9.55951e-05
164,3970.73,1.43718,1.67769,1.89402,0.51102,0.46139,0.42221,0.21325,1.89883,2.11628,2.42323,9.12754e-05,9.12754e-05,9.12754e-05
165,3994.86,1.41059,1.61715,1.88057,0.53877,0.44936,0.42169,0.2135,1.90957,2.11042,2.42997,8.70577e-05,8.70577e-05,8.70577e-05
166,4019.08,1.3982,1.62375,1.86058,0.52441,0.45519,0.41809,0.21156,1.92196,2.09663,2.43231,8.29431e-05,8.29431e-05,8.29431e-05
167,4043.4,1.43261,1.66233,1.87675,0.519,0.46566,0.42502,0.21423,1.90938,2.10314,2.43553,7.89327e-05,7.89327e-05,7.89327e-05
168,4067.69,1.43887,1.65984,1.89782,0.53421,0.45911,0.42707,0.21591,1.90982,2.10798,2.43923,7.50274e-05,7.50274e-05,7.50274e-05
169,4091.89,1.43649,1.6616,1.90183,0.55682,0.44997,0.42535,0.21433,1.90565,2.10149,2.43614,7.12282e-05,7.12282e-05,7.12282e-05
170,4116.04,1.42464,1.63981,1.89631,0.53534,0.44013,0.42375,0.2132,1.90837,2.10095,2.43546,6.7536e-05,6.7536e-05,6.7536e-05
171,4140.18,1.40597,1.65452,1.87103,0.50881,0.46412,0.42723,0.21663,1.90501,2.10518,2.42106,6.39518e-05,6.39518e-05,6.39518e-05
172,4164.46,1.4035,1.62859,1.87713,0.50938,0.46659,0.42602,0.21784,1.9103,2.10405,2.42505,6.04763e-05,6.04763e-05,6.04763e-05
173,4188.69,1.40772,1.65272,1.87804,0.53498,0.46088,0.43351,0.21848,1.89972,2.10246,2.4174,5.71106e-05,5.71106e-05,5.71106e-05
174,4212.79,1.39561,1.6326,1.87401,0.52261,0.46468,0.42981,0.21807,1.90412,2.09989,2.42375,5.38554e-05,5.38554e-05,5.38554e-05
175,4237.09,1.40729,1.63488,1.88572,0.54269,0.45305,0.43366,0.21978,1.90599,2.09523,2.4287,5.07115e-05,5.07115e-05,5.07115e-05
176,4261.33,1.4187,1.64397,1.88377,0.55056,0.44022,0.43039,0.21918,1.89964,2.08896,2.42189,4.76796e-05,4.76796e-05,4.76796e-05
177,4285.63,1.39665,1.60911,1.85733,0.54301,0.44692,0.42969,0.21753,1.91269,2.10237,2.43274,4.47606e-05,4.47606e-05,4.47606e-05
178,4309.86,1.40002,1.6028,1.87476,0.52666,0.46126,0.42939,0.21764,1.90366,2.10427,2.42675,4.19552e-05,4.19552e-05,4.19552e-05
179,4334.01,1.40478,1.63684,1.88837,0.51455,0.45712,0.42553,0.21539,1.90262,2.10506,2.42436,3.9264e-05,3.9264e-05,3.9264e-05
